 ,Full Name,Gender,Date of Birth,RPP,ERPP,Parliament Name,D I P S,E O P T,Political Party Name
1,Abida Sidik Mia,F,21.05.71 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
2,Abigail Shariff Bongwe,F,03.09.68 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
3,Ackson Kalaile Banda,M,15.10.75 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,PP
4,Agness Nkusa Nkhoma,F,07.12.70 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
5,Aisha Annie Adams,F,14.06.74 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,UDF
6,Ajilu Richard Kalitendele,M,18.05.62 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
7,Albert Mapondera Mbawala,M,11.04.75 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
8,Alfred Jiya,M,05.02.74 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
9,Alinubila Mwenesongole,M,21.04.71 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
10,Anna Andrew Kachikho,F,17.04.55 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
11,Antony Tony Ngalande,M,21.06.77 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
12,Arthur Mabvuto Sungitsa,M,15.11.75 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
13,Arthur Enock Chipungu,M,12.06.73 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
14,Ashems Christopher Songwe,M,09.07.68 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
15,Auzious John Chidobvu,M,17.10.68 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
16,Baba Steven Malondera,M,20.09.82 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
17,Bauden Mphatso Mtonga,M,27.12.75 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
18,Ben Malunga Phiri,M,24.08.78 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
19,Benard Kondwani Chitekwe,M,20.10.76 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
20,Benedicto Kalua Adwell Chambo,M,15.06.75 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
21,Bennex Mwamlima,M,25.02.60 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
22,Bertha Mackenzie Ndebele,F,04.04.75 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
23,Bester Benard Awali,M,28.09.78 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
24,Billy Kaunda,M,06.11.74 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,IND
25,BINTONY Kutsaira,M,08.01.65 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
26,Brainax M.A Kaise,M,03.06.62 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
27,Bright Msaka,M,04.10.59 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
28,Cannan Hannock Benton Kaphamtengo-yona,M,16.04.67 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
29,Catherine Gotani Hara,F,29.04.74 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
30,Charles Thomson Mchacha,M,30.06.73 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
31,Chifundo Makande,M,07.06.80 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
32,Chimunthu Banda,M,30.12.62 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
33,Chimwemwe Chipungu,M,09.08.72 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
34,Chipiliro Mpinganjira,M,06.07.80 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
35,Chrispin Chanju Mphande,M,29.07.58 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,UTM
36,Chrissie Kanyasho,F,08.09.67 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,UTM
37,Christopher Joseph Manja,M,11.01.60 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
38,Clement Claude Mlombwa,M,05.12.67 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
39,Collins John Fletcher Kajawa,M,21.05.59 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
40,Cornelius Thomson Mwalwanda,M,28.08.44 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
41,Damson Chimalira,M,24.05.60 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
42,Daniel Hamilton Chiwere,M,20.07.74 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
43,Darlington Robert Harawa,M,12.09.75 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,MCP
44,Daudi Chikwanje,M,22.08.78 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
45,Daudi Abiyani Chida,M,31.01.68 00:00,No ,,National Assembly of Malawi,17.06.20 00:00,31.03.25 00:00,DPP
